Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
31/03/2020,Northern Ireland,Pillar 2,0,0
31/03/2020,Scotland,Pillar 2,0,0
31/03/2020,Wales,Pillar 2,0,0
31/03/2020,UK,Pillar 2,20,32
01/04/2020,England,Pillar 1,4083,36796
01/04/2020,Northern Ireland,Pillar 1,106,900
01/04/2020,Scotland,Pillar 1,384,3025
01/04/2020,Wales,Pillar 1,327,2640
01/04/2020,UK,Pillar 1,4900,43361
01/04/2020,England,Pillar 2,18,50
01/04/2020,Northern Ireland,Pillar 2,0,0
01/04/2020,Scotland,Pillar 2,0,0
01/04/2020,Wales,Pillar 2,0,0
01/04/2020,UK,Pillar 2,18,50
02/04/2020,England,Pillar 1,4013,40809
02/04/2020,Northern Ireland,Pillar 1,109,1009
02/04/2020,Scotland,Pillar 1,355,3380
02/04/2020,Wales,Pillar 1,336,2976
02/04/2020,UK,Pillar 1,4813,48174
02/04/2020,England,Pillar 2,57,107
02/04/2020,Northern Ireland,Pillar 2,0,0
02/04/2020,Scotland,Pillar 2,0,0
02/04/2020,Wales,Pillar 2,0,0
02/04/2020,UK,Pillar 2,57,107
03/04/2020,England,Pillar 1,4052,44861
03/04/2020,Northern Ireland,Pillar 1,105,1114
03/04/2020,Scotland,Pillar 1,379,3759
03/04/2020,Wales,Pillar 1,330,3306
03/04/2020,UK,Pillar 1,4866,53040
03/04/2020,England,Pillar 2,50,157
03/04/2020,Northern Ireland,Pillar 2,0,0
03/04/2020,Scotland,Pillar 2,0,0
03/04/2020,Wales,Pillar 2,0,0
03/04/2020,UK,Pillar 2,50,157
04/04/2020,England,Pillar 1,3327,48188
04/04/2020,Northern Ireland,Pillar 1,92,1206
04/04/2020,Scotland,Pillar 1,259,4018
04/04/2020,Wales,Pillar 1,282,3588
04/04/2020,UK,Pillar 1,3960,57000
04/04/2020,England,Pillar 2,64,221
04/04/2020,Northern Ireland,Pillar 2,0,0
04/04/2020,Scotland,Pillar 2,1,1
04/04/2020,Wales,Pillar 2,0,0
04/04/2020,UK,Pillar 2,65,222
05/04/2020,England,Pillar 1,3029,51217
05/04/2020,Northern Ireland,Pillar 1,62,1268
05/04/2020,Scotland,Pillar 1,225,4243
05/04/2020,Wales,Pillar 1,223,3811
05/04/2020,UK,Pillar 1,3539,60539
05/04/2020,England,Pillar 2,53,274
05/04/2020,Northern Ireland,Pillar 2,0,0
05/04/2020,Scotland,Pillar 2,0,1
05/04/2020,Wales,Pillar 2,0,0
05/04/2020,UK,Pillar 2,53,275
06/04/2020,England,Pillar 1,4333,55550
06/04/2020,Northern Ireland,Pillar 1,108,1376
06/04/2020,Scotland,Pillar 1,404,4647
06/04/2020,Wales,Pillar 1,383,4194
06/04/2020,UK,Pillar 1,5228,65767
06/04/2020,England,Pillar 2,57,331
06/04/2020,Northern Ireland,Pillar 2,0,0
06/04/2020,Scotland,Pillar 2,0,1
06/04/2020,Wales,Pillar 2,0,0
06/04/2020,UK,Pillar 2,57,332
07/04/2020,England,Pillar 1,4478,60028
07/04/2020,Northern Ireland,Pillar 1,136,1512
07/04/2020,Scotland,Pillar 1,351,4998
07/04/2020,Wales,Pillar 1,386,4580
07/04/2020,UK,Pillar 1,5351,71118
07/04/2020,England,Pillar 2,105,436
07/04/2020,Northern Ireland,Pillar 2,0,0
07/04/2020,Scotland,Pillar 2,0,1
07/04/2020,Wales,Pillar 2,0,0
07/04/2020,UK,Pillar 2,105,437
08/04/2020,England,Pillar 1,4242,64270
08/04/2020,Northern Ireland,Pillar 1,105,1617
08/04/2020,Scotland,Pillar 1,343,5341
08/04/2020,Wales,Pillar 1,386,4966
08/04/2020,UK,Pillar 1,5076,76194
08/04/2020,England,Pillar 2,62,498
08/04/2020,Northern Ireland,Pillar 2,0,0
08/04/2020,Scotland,Pillar 2,0,1
08/04/2020,Wales,Pillar 2,0,0
08/04/2020,UK,Pillar 2,62,499
09/04/2020,England,Pillar 1,4016,68286
09/04/2020,Northern Ireland,Pillar 1,101,1718
09/04/2020,Scotland,Pillar 1,301,5642
09/04/2020,Wales,Pillar 1,391,5357
09/04/2020,UK,Pillar 1,4809,81003
09/04/2020,England,Pillar 2,46,544
09/04/2020,Northern Ireland,Pillar 2,0,0
09/04/2020,Scotland,Pillar 2,0,1
09/04/2020,Wales,Pillar 2,0,0
09/04/2020,UK,Pillar 2,46,545
10/04/2020,England,Pillar 1,3507,71793
10/04/2020,Northern Ireland,Pillar 1,102,1820
10/04/2020,Scotland,Pillar 1,329,5971
10/04/2020,Wales,Pillar 1,308,5665
10/04/2020,UK,Pillar 1,4246,85249
10/04/2020,England,Pillar 2,73,617
10/04/2020,Northern Ireland,Pillar 2,0,0
10/04/2020,Scotland,Pillar 2,0,1
10/04/2020,Wales,Pillar 2,0,0
10/04/2020,UK,Pillar 2,73,618
11/04/2020,England,Pillar 1,3007,74800
11/04/2020,Northern Ireland,Pillar 1,69,1889
11/04/2020,Scotland,Pillar 1,185,6156
11/04/2020,Wales,Pillar 1,247,5912
11/04/2020,UK,Pillar 1,3508,88757
11/04/2020,England,Pillar 2,74,691
11/04/2020,Northern Ireland,Pillar 2,0,0
11/04/2020,Scotland,Pillar 2,0,1
11/04/2020,Wales,Pillar 2,0,0
11/04/2020,UK,Pillar 2,74,692
12/04/2020,England,Pillar 1,2700,77500
12/04/2020,Northern Ireland,Pillar 1,85,1974
12/04/2020,Scotland,Pillar 1,220,6376
12/04/2020,Wales,Pillar 1,247,6159
12/04/2020,UK,Pillar 1,3252,92009
12/04/2020,England,Pillar 2,248,939
12/04/2020,Northern Ireland,Pillar 2,0,0
12/04/2020,Scotland,Pillar 2,0,1
12/04/2020,Wales,Pillar 2,0,0
12/04/2020,UK,Pillar 2,248,940
13/04/2020,England,Pillar 1,3306,80806
13/04/2020,Northern Ireland,Pillar 1,113,2087
13/04/2020,Scotland,Pillar 1,359,6735
13/04/2020,Wales,Pillar 1,273,6432
13/04/2020,UK,Pillar 1,4051,96060
13/04/2020,England,Pillar 2,133,1072
13/04/2020,Northern Ireland,Pillar 2,0,0
13/04/2020,Scotland,Pillar 2,0,1
13/04/2020,Wales,Pillar 2,0,0
13/04/2020,UK,Pillar 2,133,1073
14/04/2020,England,Pillar 1,3414,84220
14/04/2020,Northern Ireland,Pillar 1,104,2191
14/04/2020,Scotland,Pillar 1,346,7081
14/04/2020,Wales,Pillar 1,317,6749
14/04/2020,UK,Pillar 1,4181,100241
14/04/2020,England,Pillar 2,148,1220
14/04/2020,Northern Ireland,Pillar 2,0,0
14/04/2020,Scotland,Pillar 2,0,1
14/04/2020,Wales,Pillar 2,0,0
14/04/2020,UK,Pillar 2,148,1221
15/04/2020,England,Pillar 1,3604,87824
15/04/2020,Northern Ireland,Pillar 1,141,2332
15/04/2020,Scotland,Pillar 1,334,7415
15/04/2020,Wales,Pillar 1,361,7110
15/04/2020,UK,Pillar 1,4440,104681
15/04/2020,England,Pillar 2,632,1852
15/04/2020,Northern Ireland,Pillar 2,0,0
15/04/2020,Scotland,Pillar 2,0,1
15/04/2020,Wales,Pillar 2,0,0
15/04/2020,UK,Pillar 2,632,1853
16/04/2020,England,Pillar 1,3436,91260
16/04/2020,Northern Ireland,Pillar 1,140,2472
16/04/2020,Scotland,Pillar 1,424,7839
16/04/2020,Wales,Pillar 1,363,7473
16/04/2020,UK,Pillar 1,4363,109044
16/04/2020,England,Pillar 2,929,2781
16/04/2020,Northern Ireland,Pillar 2,0,0
16/04/2020,Scotland,Pillar 2,1,2
16/04/2020,Wales,Pillar 2,0,0
16/04/2020,UK,Pillar 2,930,2783
17/04/2020,England,Pillar 1,3428,94688
17/04/2020,Northern Ireland,Pillar 1,173,2645
17/04/2020,Scotland,Pillar 1,394,8233
17/04/2020,Wales,Pillar 1,324,7797
17/04/2020,UK,Pillar 1,4319,113363
17/04/2020,England,Pillar 2,656,3437
17/04/2020,Northern Ireland,Pillar 2,0,0
17/04/2020,Scotland,Pillar 2,0,2
17/04/2020,Wales,Pillar 2,0,0
17/04/2020,UK,Pillar 2,656,3439
18/04/2020,England,Pillar 1,2570,97258
18/04/2020,Northern Ireland,Pillar 1,91,2736
18/04/2020,Scotland,Pillar 1,264,8497
18/04/2020,Wales,Pillar 1,247,8044
18/04/2020,UK,Pillar 1,3172,116535
18/04/2020,England,Pillar 2,1550,4987
18/04/2020,Northern Ireland,Pillar 2,0,0
18/04/2020,Scotland,Pillar 2,0,2
18/04/2020,Wales,Pillar 2,0,0
18/04/2020,UK,Pillar 2,1550,4989
19/04/2020,England,Pillar 1,2083,99341
19/04/2020,Northern Ireland,Pillar 1,47,2783
19/04/2020,Scotland,Pillar 1,159,8656
19/04/2020,Wales,Pillar 1,181,8225
19/04/2020,UK,Pillar 1,2470,119005
19/04/2020,England,Pillar 2,1390,6377
19/04/2020,Northern Ireland,Pillar 2,0,0
19/04/2020,Scotland,Pillar 2,0,2
19/04/2020,Wales,Pillar 2,0,0
19/04/2020,UK,Pillar 2,1390,6379
20/04/2020,England,Pillar 1,3071,102412
20/04/2020,Northern Ireland,Pillar 1,111,2894
20/04/2020,Scotland,Pillar 1,348,9004
20/04/2020,Wales,Pillar 1,281,8506
20/04/2020,UK,Pillar 1,3811,122816
20/04/2020,England,Pillar 2,617,6994
20/04/2020,Northern Ireland,Pillar 2,0,0
20/04/2020,Scotland,Pillar 2,428,430
20/04/2020,Wales,Pillar 2,0,0
20/04/2020,UK,Pillar 2,1045,7424
21/04/2020,England,Pillar 1,2990,105402
21/04/2020,Northern Ireland,Pillar 1,142,3036
21/04/2020,Scotland,Pillar 1,399,9403
21/04/2020,Wales,Pillar 1,259,8765
21/04/2020,UK,Pillar 1,3790,126606
21/04/2020,England,Pillar 2,979,7973
21/04/2020,Northern Ireland,Pillar 2,0,0
21/04/2020,Scotland,Pillar 2,0,430
21/04/2020,Wales,Pillar 2,0,0
21/04/2020,UK,Pillar 2,979,8403
22/04/2020,England,Pillar 1,2763,108165
22/04/2020,Northern Ireland,Pillar 1,110,3146
22/04/2020,Scotland,Pillar 1,340,9743
22/04/2020,Wales,Pillar 1,253,9018
22/04/2020,UK,Pillar 1,3466,130072
22/04/2020,England,Pillar 2,2034,10007
22/04/2020,Northern Ireland,Pillar 2,0,0
22/04/2020,Scotland,Pillar 2,0,430
22/04/2020,Wales,Pillar 2,0,0
22/04/2020,UK,Pillar 2,2034,10437
23/04/2020,England,Pillar 1,2767,110932
23/04/2020,Northern Ireland,Pillar 1,78,3224
23/04/2020,Scotland,Pillar 1,314,10057
23/04/2020,Wales,Pillar 1,200,9218
23/04/2020,UK,Pillar 1,3359,133431
23/04/2020,England,Pillar 2,1805,11812
23/04/2020,Northern Ireland,Pillar 2,0,0
23/04/2020,Scotland,Pillar 2,0,430
23/04/2020,Wales,Pillar 2,1,1
23/04/2020,UK,Pillar 2,1806,12243
24/04/2020,England,Pillar 1,2766,113698
24/04/2020,Northern Ireland,Pillar 1,90,3314
24/04/2020,Scotland,Pillar 1,305,10362
24/04/2020,Wales,Pillar 1,213,9431
24/04/2020,UK,Pillar 1,3374,136805
24/04/2020,England,Pillar 2,1598,13410
24/04/2020,Northern Ireland,Pillar 2,0,0
24/04/2020,Scotland,Pillar 2,0,430
24/04/2020,Wales,Pillar 2,0,1
24/04/2020,UK,Pillar 2,1598,13841
25/04/2020,England,Pillar 1,1811,115509
25/04/2020,Northern Ireland,Pillar 1,56,3370
25/04/2020,Scotland,Pillar 1,185,10547
25/04/2020,Wales,Pillar 1,136,9567
25/04/2020,UK,Pillar 1,2188,138993
25/04/2020,England,Pillar 2,1563,14973
25/04/2020,Northern Ireland,Pillar 2,0,0
25/04/2020,Scotland,Pillar 2,0,430
25/04/2020,Wales,Pillar 2,0,1
25/04/2020,UK,Pillar 2,1563,15404
26/04/2020,England,Pillar 1,1407,116916
26/04/2020,Northern Ireland,Pillar 1,46,3416
26/04/2020,Scotland,Pillar 1,163,10710
26/04/2020,Wales,Pillar 1,120,9687
26/04/2020,UK,Pillar 1,1736,140729
26/04/2020,England,Pillar 2,1730,16703
26/04/2020,Northern Ireland,Pillar 2,0,0
26/04/2020,Scotland,Pillar 2,8,438
26/04/2020,Wales,Pillar 2,1,2
26/04/2020,UK,Pillar 2,1739,17143
27/04/2020,England,Pillar 1,2221,119137
27/04/2020,Northern Ireland,Pillar 1,73,3489
27/04/2020,Scotland,Pillar 1,334,11044
27/04/2020,Wales,Pillar 1,166,9853
27/04/2020,UK,Pillar 1,2794,143523
27/04/2020,England,Pillar 2,1811,18514
27/04/2020,Northern Ireland,Pillar 2,1,1
27/04/2020,Scotland,Pillar 2,96,534
27/04/2020,Wales,Pillar 2,6,8
27/04/2020,UK,Pillar 2,1914,19057
28/04/2020,England,Pillar 1,2285,121422
28/04/2020,Northern Ireland,Pillar 1,69,3558
28/04/2020,Scotland,Pillar 1,310,11354
28/04/2020,Wales,Pillar 1,148,10001
28/04/2020,UK,Pillar 1,2812,146335
28/04/2020,England,Pillar 2,1832,20346
28/04/2020,Northern Ireland,Pillar 2,2,3
28/04/2020,Scotland,Pillar 2,70,604
28/04/2020,Wales,Pillar 2,5,13
28/04/2020,UK,Pillar 2,1909,20966
29/04/2020,England,Pillar 1,2348,123770
29/04/2020,Northern Ireland,Pillar 1,84,3642
29/04/2020,Scotland,Pillar 1,316,11670
29/04/2020,Wales,Pillar 1,167,10168
29/04/2020,UK,Pillar 1,2915,149250
29/04/2020,England,Pillar 2,2394,22740
29/04/2020,Northern Ireland,Pillar 2,5,8
29/04/2020,Scotland,Pillar 2,114,718
29/04/2020,Wales,Pillar 2,9,22
29/04/2020,UK,Pillar 2,2522,23488
30/04/2020,England,Pillar 1,2130,125900
30/04/2020,Northern Ireland,Pillar 1,83,3725
30/04/2020,Scotland,Pillar 1,271,11941
30/04/2020,Wales,Pillar 1,194,10362
30/04/2020,UK,Pillar 1,2678,151928
30/04/2020,England,Pillar 2,2189,24929
30/04/2020,Northern Ireland,Pillar 2,26,34
30/04/2020,Scotland,Pillar 2,64,782
30/04/2020,Wales,Pillar 2,6,28
30/04/2020,UK,Pillar 2,2285,25773
01/05/2020,England,Pillar 1,1948,127848
01/05/2020,Northern Ireland,Pillar 1,87,3812
01/05/2020,Scotland,Pillar 1,267,12208
01/05/2020,Wales,Pillar 1,161,10523
01/05/2020,UK,Pillar 1,2463,154391
01/05/2020,England,Pillar 2,2147,27076
01/05/2020,Northern Ireland,Pillar 2,18,52
01/05/2020,Scotland,Pillar 2,101,883
01/05/2020,Wales,Pillar 2,15,43
01/05/2020,UK,Pillar 2,2281,28054
02/05/2020,England,Pillar 1,1244,129092
02/05/2020,Northern Ireland,Pillar 1,58,3870
02/05/2020,Scotland,Pillar 1,148,12356
02/05/2020,Wales,Pillar 1,169,10692
02/05/2020,UK,Pillar 1,1619,156010
02/05/2020,England,Pillar 2,1497,28573
02/05/2020,Northern Ireland,Pillar 2,36,88
02/05/2020,Scotland,Pillar 2,69,952
02/05/2020,Wales,Pillar 2,10,53
02/05/2020,UK,Pillar 2,1612,29666
03/05/2020,England,Pillar 1,961,130053
03/05/2020,Northern Ireland,Pillar 1,31,3901
03/05/2020,Scotland,Pillar 1,107,12463
03/05/2020,Wales,Pillar 1,94,10786
03/05/2020,UK,Pillar 1,1193,157203
03/05/2020,England,Pillar 2,1674,30247
03/05/2020,Northern Ireland,Pillar 2,29,117
03/05/2020,Scotland,Pillar 2,82,1034
03/05/2020,Wales,Pillar 2,11,64
03/05/2020,UK,Pillar 2,1796,31462
04/05/2020,England,Pillar 1,1622,131675
04/05/2020,Northern Ireland,Pillar 1,54,3955
04/05/2020,Scotland,Pillar 1,269,12732
04/05/2020,Wales,Pillar 1,131,10917
04/05/2020,UK,Pillar 1,2076,159279
04/05/2020,England,Pillar 2,1224,31471
04/05/2020,Northern Ireland,Pillar 2,23,140
04/05/2020,Scotland,Pillar 2,60,1094
04/05/2020,Wales,Pillar 2,8,72
04/05/2020,UK,Pillar 2,1315,32777
05/05/2020,England,Pillar 1,1602,133277
05/05/2020,Northern Ireland,Pillar 1,51,4006
05/05/2020,Scotland,Pillar 1,216,12948
05/05/2020,Wales,Pillar 1,163,11080
05/05/2020,UK,Pillar 1,2032,161311
05/05/2020,England,Pillar 2,1543,33014
05/05/2020,Northern Ireland,Pillar 2,24,164
05/05/2020,Scotland,Pillar 2,72,1166
05/05/2020,Wales,Pillar 2,12,84
05/05/2020,UK,Pillar 2,1651,34428
06/05/2020,England,Pillar 1,1437,134714
06/05/2020,Northern Ireland,Pillar 1,42,4048
06/05/2020,Scotland,Pillar 1,228,13176
06/05/2020,Wales,Pillar 1,166,11246
06/05/2020,UK,Pillar 1,1873,163184
06/05/2020,England,Pillar 2,1831,34845
06/05/2020,Northern Ireland,Pillar 2,49,213
06/05/2020,Scotland,Pillar 2,78,1244
06/05/2020,Wales,Pillar 2,5,89
06/05/2020,UK,Pillar 2,1963,36391
07/05/2020,England,Pillar 1,1447,136161
07/05/2020,Northern Ireland,Pillar 1,64,4112
07/05/2020,Scotland,Pillar 1,227,13403
07/05/2020,Wales,Pillar 1,167,11413
07/05/2020,UK,Pillar 1,1905,165089
07/05/2020,England,Pillar 2,1757,36602
07/05/2020,Northern Ireland,Pillar 2,46,259
07/05/2020,Scotland,Pillar 2,63,1307
07/05/2020,Wales,Pillar 2,9,98
07/05/2020,UK,Pillar 2,1875,38266
08/05/2020,England,Pillar 1,1024,137185
08/05/2020,Northern Ireland,Pillar 1,43,4155
08/05/2020,Scotland,Pillar 1,183,13586
08/05/2020,Wales,Pillar 1,101,11514
08/05/2020,UK,Pillar 1,1351,166440
08/05/2020,England,Pillar 2,1598,38200
08/05/2020,Northern Ireland,Pillar 2,25,284
08/05/2020,Scotland,Pillar 2,71,1378
08/05/2020,Wales,Pillar 2,14,112
08/05/2020,UK,Pillar 2,1708,39974
09/05/2020,England,Pillar 1,890,138075
09/05/2020,Northern Ireland,Pillar 1,31,4186
09/05/2020,Scotland,Pillar 1,106,13692
09/05/2020,Wales,Pillar 1,124,11638
09/05/2020,UK,Pillar 1,1151,167591
09/05/2020,England,Pillar 2,901,39101
09/05/2020,Northern Ireland,Pillar 2,24,308
09/05/2020,Scotland,Pillar 2,71,1449
09/05/2020,Wales,Pillar 2,12,124
09/05/2020,UK,Pillar 2,1008,40982
10/05/2020,England,Pillar 1,729,138804
10/05/2020,Northern Ireland,Pillar 1,46,4232
10/05/2020,Scotland,Pillar 1,104,13796
10/05/2020,Wales,Pillar 1,101,11739
10/05/2020,UK,Pillar 1,980,168571
10/05/2020,England,Pillar 2,1280,40381
10/05/2020,Northern Ireland,Pillar 2,16,324
10/05/2020,Scotland,Pillar 2,46,1495
10/05/2020,Wales,Pillar 2,6,130
10/05/2020,UK,Pillar 2,1348,42330
11/05/2020,England,Pillar 1,1247,140051
11/05/2020,Northern Ireland,Pillar 1,63,4295
11/05/2020,Scotland,Pillar 1,198,13994
11/05/2020,Wales,Pillar 1,172,11911
11/05/2020,UK,Pillar 1,1680,170251
11/05/2020,England,Pillar 2,1823,42204
11/05/2020,Northern Ireland,Pillar 2,19,343
11/05/2020,Scotland,Pillar 2,63,1558
11/05/2020,Wales,Pillar 2,6,136
11/05/2020,UK,Pillar 2,1911,44241
12/05/2020,England,Pillar 1,1106,141157
12/05/2020,Northern Ireland,Pillar 1,52,4347
12/05/2020,Scotland,Pillar 1,179,14173
12/05/2020,Wales,Pillar 1,139,12050
12/05/2020,UK,Pillar 1,1476,171727
12/05/2020,England,Pillar 2,1822,44026
12/05/2020,Northern Ireland,Pillar 2,36,379
12/05/2020,Scotland,Pillar 2,52,1610
12/05/2020,Wales,Pillar 2,11,147
12/05/2020,UK,Pillar 2,1921,46162
13/05/2020,England,Pillar 1,1082,142239
13/05/2020,Northern Ireland,Pillar 1,33,4380
13/05/2020,Scotland,Pillar 1,138,14311
13/05/2020,Wales,Pillar 1,142,12192
13/05/2020,UK,Pillar 1,1395,173122
13/05/2020,England,Pillar 2,1799,45825
13/05/2020,Northern Ireland,Pillar 2,45,424
13/05/2020,Scotland,Pillar 2,60,1670
13/05/2020,Wales,Pillar 2,11,158
13/05/2020,UK,Pillar 2,1915,48077
14/05/2020,England,Pillar 1,905,143144
14/05/2020,Northern Ireland,Pillar 1,33,4413
14/05/2020,Scotland,Pillar 1,154,14465
14/05/2020,Wales,Pillar 1,119,12311
14/05/2020,UK,Pillar 1,1211,174333
14/05/2020,England,Pillar 2,1305,47130
14/05/2020,Northern Ireland,Pillar 2,36,460
14/05/2020,Scotland,Pillar 2,58,1728
14/05/2020,Wales,Pillar 2,13,171
14/05/2020,UK,Pillar 2,1412,49489
15/05/2020,England,Pillar 1,911,144055
15/05/2020,Northern Ireland,Pillar 1,40,4453
15/05/2020,Scotland,Pillar 1,105,14570
15/05/2020,Wales,Pillar 1,175,12486
15/05/2020,UK,Pillar 1,1231,175564
15/05/2020,England,Pillar 2,1220,48350
15/05/2020,Northern Ireland,Pillar 2,15,475
15/05/2020,Scotland,Pillar 2,47,1775
15/05/2020,Wales,Pillar 2,4,175
15/05/2020,UK,Pillar 2,1286,50775
16/05/2020,England,Pillar 1,632,144687
16/05/2020,Northern Ireland,Pillar 1,21,4474
16/05/2020,Scotland,Pillar 1,61,14631
16/05/2020,Wales,Pillar 1,159,12645
16/05/2020,UK,Pillar 1,873,176437
16/05/2020,England,Pillar 2,1138,49488
16/05/2020,Northern Ireland,Pillar 2,11,486
16/05/2020,Scotland,Pillar 2,42,1817
16/05/2020,Wales,Pillar 2,7,182
16/05/2020,UK,Pillar 2,1198,51973
17/05/2020,England,Pillar 1,635,145322
17/05/2020,Northern Ireland,Pillar 1,22,4496
17/05/2020,Scotland,Pillar 1,55,14686
17/05/2020,Wales,Pillar 1,113,12758
17/05/2020,UK,Pillar 1,825,177262
17/05/2020,England,Pillar 2,955,50443
17/05/2020,Northern Ireland,Pillar 2,12,498
17/05/2020,Scotland,Pillar 2,37,1854
17/05/2020,Wales,Pillar 2,5,187
17/05/2020,UK,Pillar 2,1009,52982
18/05/2020,England,Pillar 1,947,146269
18/05/2020,Northern Ireland,Pillar 1,24,4520
18/05/2020,Scotland,Pillar 1,106,14792
18/05/2020,Wales,Pillar 1,164,12922
18/05/2020,UK,Pillar 1,1241,178503
18/05/2020,England,Pillar 2,1272,51715
18/05/2020,Northern Ireland,Pillar 2,20,518
18/05/2020,Scotland,Pillar 2,34,1888
18/05/2020,Wales,Pillar 2,4,191
18/05/2020,UK,Pillar 2,1330,54312
19/05/2020,England,Pillar 1,1022,147291
19/05/2020,Northern Ireland,Pillar 1,43,4563
19/05/2020,Scotland,Pillar 1,132,14924
19/05/2020,Wales,Pillar 1,208,13130
19/05/2020,UK,Pillar 1,1405,179908
19/05/2020,England,Pillar 2,1563,53278
19/05/2020,Northern Ireland,Pillar 2,24,542
19/05/2020,Scotland,Pillar 2,50,1938
19/05/2020,Wales,Pillar 2,5,196
19/05/2020,UK,Pillar 2,1642,55954
20/05/2020,England,Pillar 1,824,148115
20/05/2020,Northern Ireland,Pillar 1,21,4584
20/05/2020,Scotland,Pillar 1,87,15011
20/05/2020,Wales,Pillar 1,152,13282
20/05/2020,UK,Pillar 1,1084,180992
20/05/2020,England,Pillar 2,1530,54808
20/05/2020,Northern Ireland,Pillar 2,54,596
20/05/2020,Scotland,Pillar 2,34,1972
20/05/2020,Wales,Pillar 2,14,210
20/05/2020,UK,Pillar 2,1632,57586
21/05/2020,England,Pillar 1,749,148864
21/05/2020,Northern Ireland,Pillar 1,32,4616
21/05/2020,Scotland,Pillar 1,78,15089
21/05/2020,Wales,Pillar 1,107,13389
21/05/2020,UK,Pillar 1,966,181958
21/05/2020,England,Pillar 2,1527,56335
21/05/2020,Northern Ireland,Pillar 2,13,609
21/05/2020,Scotland,Pillar 2,33,2005
21/05/2020,Wales,Pillar 2,25,235
21/05/2020,UK,Pillar 2,1598,59184
22/05/2020,England,Pillar 1,708,149572
22/05/2020,Northern Ireland,Pillar 1,16,4632
22/05/2020,Scotland,Pillar 1,63,15152
22/05/2020,Wales,Pillar 1,106,13495
22/05/2020,UK,Pillar 1,893,182851
22/05/2020,England,Pillar 2,1093,57428
22/05/2020,Northern Ireland,Pillar 2,13,622
22/05/2020,Scotland,Pillar 2,29,2034
22/05/2020,Wales,Pillar 2,31,266
22/05/2020,UK,Pillar 2,1166,60350
23/05/2020,England,Pillar 1,455,150027
23/05/2020,Northern Ireland,Pillar 1,33,4665
23/05/2020,Scotland,Pillar 1,24,15176
23/05/2020,Wales,Pillar 1,106,13601
23/05/2020,UK,Pillar 1,618,183469
23/05/2020,England,Pillar 2,846,58274
23/05/2020,Northern Ireland,Pillar 2,17,639
23/05/2020,Scotland,Pillar 2,26,2060
23/05/2020,Wales,Pillar 2,17,283
23/05/2020,UK,Pillar 2,906,61256
24/05/2020,England,Pillar 1,386,150413
24/05/2020,Northern Ireland,Pillar 1,12,4677
24/05/2020,Scotland,Pillar 1,32,15208
24/05/2020,Wales,Pillar 1,67,13668
24/05/2020,UK,Pillar 1,497,183966
24/05/2020,England,Pillar 2,812,59086
24/05/2020,Northern Ireland,Pillar 2,19,658
24/05/2020,Scotland,Pillar 2,22,2082
24/05/2020,Wales,Pillar 2,15,298
24/05/2020,UK,Pillar 2,868,62124
25/05/2020,England,Pillar 1,508,150921
25/05/2020,Northern Ireland,Pillar 1,11,4688
25/05/2020,Scotland,Pillar 1,57,15265
25/05/2020,Wales,Pillar 1,90,13758
25/05/2020,UK,Pillar 1,666,184632
25/05/2020,England,Pillar 2,872,59958
25/05/2020,Northern Ireland,Pillar 2,21,679
25/05/2020,Scotland,Pillar 2,40,2122
25/05/2020,Wales,Pillar 2,16,314
25/05/2020,UK,Pillar 2,949,63073
26/05/2020,England,Pillar 1,542,151463
26/05/2020,Northern Ireland,Pillar 1,11,4699
26/05/2020,Scotland,Pillar 1,48,15313
26/05/2020,Wales,Pillar 1,84,13842
26/05/2020,UK,Pillar 1,685,185317
26/05/2020,England,Pillar 2,921,60879
26/05/2020,Northern Ireland,Pillar 2,15,694
26/05/2020,Scotland,Pillar 2,29,2151
26/05/2020,Wales,Pillar 2,18,332
26/05/2020,UK,Pillar 2,983,64056
27/05/2020,England,Pillar 1,547,152010
27/05/2020,Northern Ireland,Pillar 1,13,4712
27/05/2020,Scotland,Pillar 1,47,15360
27/05/2020,Wales,Pillar 1,97,13939
27/05/2020,UK,Pillar 1,704,186021
27/05/2020,England,Pillar 2,1069,61948
27/05/2020,Northern Ireland,Pillar 2,12,706
27/05/2020,Scotland,Pillar 2,19,2170
27/05/2020,Wales,Pillar 2,21,353
27/05/2020,UK,Pillar 2,1121,65177
28/05/2020,England,Pillar 1,465,152475
28/05/2020,Northern Ireland,Pillar 1,12,4724
28/05/2020,Scotland,Pillar 1,34,15394
28/05/2020,Wales,Pillar 1,90,14029
28/05/2020,UK,Pillar 1,601,186622
28/05/2020,England,Pillar 2,1108,63056
28/05/2020,Northern Ireland,Pillar 2,12,718
28/05/2020,Scotland,Pillar 2,21,2191
28/05/2020,Wales,Pillar 2,12,365
28/05/2020,UK,Pillar 2,1153,66330
29/05/2020,England,Pillar 1,444,152919
29/05/2020,Northern Ireland,Pillar 1,10,4734
29/05/2020,Scotland,Pillar 1,17,15411
29/05/2020,Wales,Pillar 1,89,14118
29/05/2020,UK,Pillar 1,560,187182
29/05/2020,England,Pillar 2,928,63984
29/05/2020,Northern Ireland,Pillar 2,10,728
29/05/2020,Scotland,Pillar 2,12,2203
29/05/2020,Wales,Pillar 2,18,383
29/05/2020,UK,Pillar 2,968,67298
30/05/2020,England,Pillar 1,351,153270
30/05/2020,Northern Ireland,Pillar 1,5,4739
